clipno_overall,run,clipno_in_run,clip_name,start_tr,stop_tr
1,MOVIE1_7T_AP,1,twomen,20,264.0417
2,MOVIE1_7T_AP,2,bridgeville,284.0833,505.7083
3,MOVIE1_7T_AP,3,pockets,525.75,713.75
4,MOVIE1_7T_AP,4,overcome,733.7917,797.5417
5,MOVIE1_7T_AP,5,testretest1,817.5833,900.9583
6,MOVIE2_7T_PA,1,inception,20,246.7083
7,MOVIE2_7T_PA,2,socialnet,266.75,525.3333
8,MOVIE2_7T_PA,3,oceans,545.375,794.5833
9,MOVIE2_7T_PA,4,testretest2,814.5833,897.9583
10,MOVIE3_7T_PA,1,flower,20,200.5417
11,MOVIE3_7T_PA,2,hotel,220.5833,405.0833
12,MOVIE3_7T_PA,3,garden,425.125,629.2083
13,MOVIE3_7T_PA,4,dreary,649.25,791.75
14,MOVIE3_7T_PA,5,testretest3,811.5833,894.9583
15,MOVIE4_7T_AP,1,homealone,20,252.2917
16,MOVIE4_7T_AP,2,brokovich,272.3333,502.1667
17,MOVIE4_7T_AP,3,starwars,522.2083,777.375
18,MOVIE4_7T_AP,4,testretest4,797.5833,880.9583
